Question
Is the traffic light green on the following picture: https://imgur.com/gallery/169UKQV
Is the traffic light green on the following picture: https://imgur.com/gallery/169UKQGF
Is the traffic light green on the following picture: https://imgur.com/gallery/16da9UKQV
Is the traffic light green on the following picture: https://imgur.com/gallery/16fd19UKQV
Is the traffic light green on the following picture: https://imgur.com/gallery/1afa22rQV
Is the traffic light green on the following picture: https://imgur.com/gallery/169UcDA
Is the traffic light green on the following picture: https://imgur.com/gallery/169821A
Is the traffic light green on the following picture: https://imgur.com/gallery/2341AA4tra
Is the traffic light green on the following picture: https://imgur.com/gallery/adf1341
Is the traffic light green on the following picture: https://imgur.com/gallery/adf1re
